Order Date,Sales,Profit,Region,Category,Sub-Category,Customer Name
2025-11-11,61.91,18.88,West,Office Supplies,Paper,Valerie Mitchum
2023-07-25,150.74,40.38,Central,Office Supplies,Storage,Emily Burns
2024-09-30,303.28,8.74,East,Furniture,Tables,Arthur Prichep
2025-04-27,93.27,13.03,South,Office Supplies,Storage,Arthur Prichep
2024-03-15,1225.51,-254.33,West,Furniture,Tables,Claire Gute
2024-12-29,84.53,28.31,South,Technology,Phones,Toby Swindell
2025-07-29,332.42,-111.64,East,Furniture,Tables,Joel Eaton
2023-06-13,263.17,70.52,East,Office Supplies,Fasteners,Alejandro Grove
2023-05-28,813.16,319.18,East,Technology,Phones,Albert Patina
2023-10-21,183.54,2.95,West,Furniture,Chairs,Emily Burns
2023-07-14,335.11,52.26,East,Furniture,Chairs,Yoseph Carroll
2024-10-24,132.36,-10.61,West,Furniture,Furnishings,Ryan Crowe
2024-04-24,409.01,59.99,East,Office Supplies,Paper,Yoseph Carroll
2023-05-03,298.01,71.44,South,Furniture,Furnishings,Alejandro Grove
2024-11-29,108.19,26.46,South,Furniture,Chairs,Emily Burns
2025-08-22,91.11,18.57,Central,Office Supplies,Fasteners,Ken Black
2024-10-22,153.0,34.23,South,Furniture,Bookcases,Tracy Blumstein
2024-12-10,758.79,214.7,Central,Technology,Machines,Toby Swindell
2024-01-31,1078.32,-235.92,South,Furniture,Tables,Yoseph Carroll
2025-06-30,276.55,53.49,West,Technology,Phones,Yoseph Carroll
2025-10-01,952.99,405.33,South,Technology,Accessories,Pete Kaisen
2023-11-13,62.34,-5.05,Central,Furniture,Bookcases,Emily Burns
2024-11-11,88.72,7.26,Central,Furniture,Chairs,Georgia Nippi
2024-05-09,83.61,18.11,East,Office Supplies,Art,Gary Hansen
2024-07-09,231.51,33.77,West,Furniture,Chairs,Brosina Hoffman
2024-09-01,8.28,1.65,South,Office Supplies,Envelopes,Lena Creighton
2023-04-19,19.44,2.56,East,Office Supplies,Supplies,John Lee
2024-01-07,401.11,63.89,South,Technology,Phones,Tracy Blumstein
2025-05-04,322.2,76.12,South,Office Supplies,Fasteners,Paul Prost
2024-09-07,413.2,145.3,East,Technology,Phones,Joel Eaton
2025-02-06,121.22,26.77,East,Office Supplies,Paper,Sandra Flanagan
2023-07-25,159.87,57.3,East,Technology,Phones,Stewart Rivera
2025-04-26,561.2,-52.41,East,Furniture,Chairs,Yoseph Carroll
2023-02-12,723.73,295.91,East,Technology,Machines,Albert Patina
2025-05-14,138.14,31.04,South,Office Supplies,Art,Pete Kaisen
2025-02-23,136.15,-13.51,East,Furniture,Bookcases,Sandra Flanagan
2024-04-20,20.31,3.83,West,Office Supplies,Labels,Alejandro Grove
2023-03-24,91.02,47.24,Central,Technology,Copiers,Harold Ryan
2023-07-09,139.73,44.61,East,Office Supplies,Supplies,Ryan Crowe
2025-03-10,803.31,323.68,East,Technology,Copiers,Gary Hansen
2025-07-24,298.14,78.52,South,Office Supplies,Storage,Joel Eaton
2023-09-08,299.95,110.98,East,Technology,Copiers,Sandra Flanagan
2023-10-18,827.88,92.51,East,Technology,Phones,Andrew Allen
2023-11-22,1913.37,884.13,East,Technology,Copiers,Gary Hansen
2025-04-16,53.27,6.81,South,Furniture,Furnishings,Valerie Mitchum
2024-05-22,81.11,23.42,East,Office Supplies,Paper,Bobby Osgood
2024-12-31,2516.1,551.22,Central,Technology,Machines,Joel Eaton
2023-03-13,66.93,3.48,South,Office Supplies,Storage,Linda Cazzolari
2024-10-02,1965.03,-263.74,Central,Furniture,Tables,Georgia Nippi
2025-07-28,4389.21,-1504.91,South,Furniture,Tables,Stewart Rivera
2024-08-30,1271.38,-392.36,East,Furniture,Tables,Pete Kaisen
2024-07-19,1036.53,-20.03,Central,Furniture,Chairs,Georgia Nippi
2023-02-23,212.67,38.53,South,Office Supplies,Art,Georgia Nippi
2024-06-11,349.26,69.09,West,Technology,Phones,Alejandro Grove
2024-09-02,438.84,133.26,East,Technology,Machines,Gary Hansen
2023-07-12,13.82,0.92,South,Office Supplies,Paper,Bobby Osgood
2023-02-27,68.02,6.35,West,Office Supplies,Labels,Toby Swindell
2023-05-09,735.74,-27.32,South,Furniture,Tables,Nick Crecia
2024-12-06,21.23,3.18,West,Technology,Accessories,Eric Hoffmann
2025-05-01,6.8,1.65,East,Office Supplies,Art,Toby Swindell
2023-01-08,164.15,-53.41,Central,Furniture,Tables,Brosina Hoffman
2023-01-29,535.41,129.88,West,Technology,Phones,Yoseph Carroll
2025-08-04,1686.01,649.93,South,Technology,Copiers,Brosina Hoffman
2023-05-11,616.75,51.12,East,Office Supplies,Labels,Alejandro Grove
2023-07-07,107.18,23.59,West,Office Supplies,Labels,Tracy Blumstein
2024-12-09,1189.0,505.23,South,Technology,Phones,Sandra Flanagan
2023-07-31,696.1,251.26,South,Technology,Copiers,Nick Crecia
2023-10-03,703.91,174.25,South,Technology,Machines,Zusha Benson
2023-08-31,132.56,34.77,West,Office Supplies,Binders,Paul Prost
2025-09-13,27.14,7.11,West,Technology,Accessories,Andrew Allen
2024-11-15,421.28,161.04,West,Technology,Accessories,Nick Crecia
2023-06-20,70.06,7.28,Central,Office Supplies,Appliances,Valerie Mitchum
2024-10-14,93.63,40.81,West,Technology,Accessories,Bobby Osgood
2023-07-07,172.06,28.48,West,Office Supplies,Paper,Lena Creighton
2023-02-21,456.69,191.04,West,Technology,Copiers,Maria Etezadi
2023-04-21,341.89,138.85,Central,Technology,Machines,Lena Creighton
2025-05-26,154.56,45.96,West,Technology,Accessories,Nick Crecia
2025-12-02,8.8,1.8,South,Office Supplies,Art,Paul Prost
2023-07-30,196.33,52.63,West,Office Supplies,Storage,Lena Creighton
2025-05-07,113.24,25.36,South,Office Supplies,Fasteners,Pete Kaisen
2024-09-18,531.82,-147.24,South,Furniture,Tables,Paul Prost
2025-11-15,154.9,39.07,South,Office Supplies,Paper,Linda Cazzolari
2023-10-26,307.24,45.08,Central,Technology,Phones,Emily Burns
2025-07-12,972.25,371.45,Central,Technology,Machines,Valerie Mitchum
2023-05-17,177.7,61.65,Central,Office Supplies,Storage,Valerie Mitchum
2025-11-09,969.6,412.54,West,Technology,Copiers,Pete Kaisen
2024-03-15,533.85,136.49,South,Technology,Phones,Toby Swindell
2023-07-30,1355.41,486.98,Central,Technology,Copiers,Arthur Prichep
2025-01-21,36.51,3.83,Central,Technology,Accessories,Gary Hansen
2024-03-10,435.58,232.72,West,Technology,Copiers,Albert Patina
2025-02-18,447.89,39.68,Central,Office Supplies,Supplies,Joel Eaton
2024-03-14,80.77,2.29,West,Furniture,Furnishings,Andrew Allen
2024-10-27,25.01,7.37,East,Office Supplies,Binders,Sandra Flanagan
2025-12-01,116.81,37.0,Central,Office Supplies,Storage,Emily Burns
2024-02-15,83.3,4.81,East,Furniture,Bookcases,Maria Etezadi
2025-03-16,102.89,30.64,West,Technology,Phones,Maria Etezadi
2024-09-01,963.23,113.54,South,Furniture,Furnishings,Irene Maddox
2024-03-02,121.92,41.26,Central,Office Supplies,Binders,Albert Patina
2025-06-20,318.59,149.91,West,Technology,Copiers,Georgia Nippi
2025-07-30,793.14,172.78,South,Office Supplies,Envelopes,Paul Prost
2025-01-11,1291.86,-186.27,South,Furniture,Chairs,Ken Black
2023-11-24,92.17,6.85,East,Office Supplies,Supplies,Maria Etezadi
2023-02-21,133.17,10.77,West,Furniture,Bookcases,Bobby Osgood
2024-01-11,856.31,366.23,South,Technology,Machines,Linda Cazzolari
2023-09-20,193.62,60.02,Central,Office Supplies,Storage,Brosina Hoffman
2023-09-24,179.2,61.78,Central,Office Supplies,Appliances,Irene Maddox
2023-12-25,340.4,96.93,East,Technology,Accessories,Yoseph Carroll
2024-10-13,180.4,51.66,South,Office Supplies,Art,Ryan Crowe
2023-02-15,55.07,10.25,West,Furniture,Furnishings,Toby Swindell
2024-08-22,182.56,44.62,Central,Office Supplies,Envelopes,Nick Crecia
2024-12-20,59.75,9.06,South,Office Supplies,Storage,Ken Black
2024-08-23,965.9,-133.79,South,Furniture,Tables,Valerie Mitchum
2024-01-16,150.04,60.06,East,Technology,Accessories,Emily Burns
2023-04-28,88.55,18.11,Central,Technology,Machines,Valerie Mitchum
2023-04-26,112.87,24.77,Central,Furniture,Furnishings,Harold Ryan
2023-09-17,68.08,8.1,West,Office Supplies,Paper,Toby Swindell
2023-11-01,199.73,72.37,Central,Technology,Phones,Maria Etezadi
2023-01-07,143.29,45.95,West,Technology,Accessories,Linda Cazzolari
2024-01-01,63.36,17.42,Central,Office Supplies,Storage,Albert Patina
2024-06-06,230.02,41.68,East,Office Supplies,Paper,Zusha Benson
2024-03-04,42.04,9.38,Central,Furniture,Bookcases,Brosina Hoffman
2025-03-01,391.52,125.82,West,Technology,Phones,John Lee
2025-01-16,1252.29,510.51,West,Technology,Copiers,Maria Etezadi
2024-01-02,172.59,55.83,East,Technology,Accessories,Andrew Allen
2023-11-09,108.14,14.71,Central,Office Supplies,Art,Eric Hoffmann
2024-06-21,958.71,194.4,Central,Technology,Phones,Irene Maddox
2025-07-09,58.49,9.94,East,Office Supplies,Paper,John Lee
2025-12-13,60.24,31.35,Central,Technology,Copiers,Alejandro Grove
2025-05-14,89.84,17.98,Central,Office Supplies,Supplies,Paul Prost
2025-02-20,10.04,2.55,West,Office Supplies,Labels,Eric Hoffmann
2023-11-30,466.66,78.21,Central,Office Supplies,Fasteners,Ryan Crowe
2025-03-08,113.14,21.75,Central,Technology,Phones,Eric Hoffmann
2023-12-14,238.33,103.46,East,Technology,Accessories,Toby Swindell
2023-09-30,700.71,218.1,East,Technology,Machines,Georgia Nippi
2025-08-20,41.83,13.81,South,Office Supplies,Art,Lena Creighton
2024-12-20,150.62,16.72,West,Office Supplies,Envelopes,Alejandro Grove
2024-05-14,12.39,1.17,Central,Office Supplies,Binders,Albert Patina
2024-11-15,104.12,31.94,Central,Office Supplies,Appliances,Sandra Flanagan
2023-03-20,7.21,1.83,South,Office Supplies,Storage,Sandra Flanagan
2024-09-13,597.8,98.82,Central,Technology,Phones,Nick Crecia
2025-08-04,564.99,73.91,West,Office Supplies,Labels,Joel Eaton
2023-12-24,167.95,28.6,South,Furniture,Chairs,Sandra Flanagan
2024-09-09,82.14,2.59,West,Furniture,Chairs,Georgia Nippi
2024-05-21,215.19,25.44,South,Furniture,Furnishings,Nick Crecia
2024-07-29,48.83,10.32,South,Technology,Accessories,Pete Kaisen
2023-09-01,343.18,80.11,East,Technology,Accessories,Paul Prost
2024-05-20,132.97,46.17,West,Office Supplies,Binders,Paul Prost
2024-02-26,490.54,91.57,Central,Technology,Machines,Ryan Crowe
2023-08-05,273.19,55.17,Central,Office Supplies,Storage,Eric Hoffmann
2025-10-05,352.2,182.75,West,Technology,Copiers,Ryan Crowe
2023-11-26,2806.08,-680.05,Central,Furniture,Tables,Lena Creighton
2024-10-11,2946.57,722.87,Central,Technology,Machines,Gary Hansen
2024-01-26,94.05,9.03,West,Furniture,Bookcases,Albert Patina
2024-01-16,5.35,1.04,South,Office Supplies,Supplies,Linda Cazzolari
2025-01-11,1901.99,840.49,West,Technology,Copiers,Maria Etezadi
2025-03-30,359.89,57.13,South,Office Supplies,Labels,Pete Kaisen
2024-11-03,58.14,-5.0,Central,Furniture,Tables,Stewart Rivera
2024-05-27,273.49,64.9,Central,Office Supplies,Supplies,Ryan Crowe
2025-08-06,96.82,23.82,Central,Office Supplies,Envelopes,Yoseph Carroll
2025-07-18,49.96,3.55,East,Office Supplies,Appliances,Maria Etezadi
2025-07-01,1618.37,519.27,South,Technology,Machines,Zusha Benson
2024-10-05,100.3,43.49,East,Technology,Phones,Stewart Rivera
2024-03-02,2003.94,579.83,East,Technology,Machines,Paul Prost
2024-05-16,39.53,10.46,West,Office Supplies,Labels,Linda Cazzolari
2024-12-30,147.66,43.54,East,Technology,Accessories,Paul Prost
2023-03-12,135.65,4.7,West,Furniture,Tables,Harold Ryan
2024-04-22,123.34,40.56,West,Office Supplies,Art,Joel Eaton
2024-04-01,528.98,-40.37,East,Furniture,Bookcases,Gary Hansen
2023-07-08,36.65,6.64,South,Office Supplies,Appliances,Brosina Hoffman
2023-10-18,324.24,76.95,South,Technology,Phones,Harold Ryan
2025-07-08,441.35,106.73,South,Technology,Machines,Brosina Hoffman
2023-10-19,16.05,1.41,South,Office Supplies,Paper,Paul Prost
2025-01-25,415.99,72.98,South,Furniture,Chairs,Toby Swindell
2024-01-12,66.35,4.03,East,Office Supplies,Appliances,Claire Gute
2024-05-22,531.01,32.55,East,Furniture,Bookcases,Paul Prost
2024-06-11,306.94,101.8,Central,Technology,Phones,Georgia Nippi
2024-07-12,113.0,12.68,South,Office Supplies,Binders,Valerie Mitchum
2025-11-20,22.01,7.08,East,Office Supplies,Storage,John Lee
2023-09-17,87.61,26.42,Central,Office Supplies,Paper,Maria Etezadi
2024-02-25,323.14,85.59,South,Technology,Phones,Tracy Blumstein
2023-10-31,203.44,35.27,West,Office Supplies,Envelopes,Georgia Nippi
2025-07-30,1472.74,-358.68,Central,Furniture,Tables,Nick Crecia
2025-11-28,197.96,70.37,East,Technology,Phones,Andrew Allen
2024-06-25,18.62,1.67,West,Office Supplies,Fasteners,Ken Black
2025-12-25,45.54,15.4,West,Technology,Accessories,Alejandro Grove
2023-04-18,32.04,9.7,West,Office Supplies,Appliances,Eric Hoffmann
2023-09-25,113.54,-28.07,Central,Furniture,Tables,Ken Black
2023-08-10,337.37,136.04,East,Technology,Machines,John Lee
2024-11-23,44.09,-6.03,West,Furniture,Furnishings,Gary Hansen
2023-09-12,41.94,13.58,South,Office Supplies,Paper,Gary Hansen
2023-09-10,13.44,1.15,West,Office Supplies,Appliances,Andrew Allen
2023-09-14,7.67,1.87,West,Office Supplies,Paper,Zusha Benson
2024-01-18,21.27,2.66,Central,Office Supplies,Binders,Zusha Benson
2024-03-17,33.35,10.04,Central,Office Supplies,Art,Harold Ryan
2024-08-21,89.58,18.25,East,Office Supplies,Fasteners,Arthur Prichep
2024-01-25,806.64,118.85,South,Technology,Machines,Bobby Osgood
2024-08-04,86.94,6.82,Central,Furniture,Bookcases,Maria Etezadi
2025-12-03,384.98,166.15,West,Technology,Copiers,Irene Maddox
2024-08-20,67.73,16.83,East,Office Supplies,Appliances,Bobby Osgood
2023-01-19,35.4,11.14,West,Office Supplies,Envelopes,Ryan Crowe
2024-08-29,47.26,20.41,West,Technology,Copiers,Claire Gute
2023-02-02,99.39,13.61,Central,Office Supplies,Storage,Valerie Mitchum
2025-05-11,178.59,9.71,East,Office Supplies,Binders,Sandra Flanagan
2023-06-04,43.48,13.1,South,Technology,Accessories,Claire Gute
2025-06-23,26.2,4.47,South,Office Supplies,Art,Irene Maddox
2024-02-09,332.11,53.93,Central,Office Supplies,Art,Alejandro Grove
2025-04-23,53.24,8.73,Central,Technology,Accessories,Harold Ryan
2025-01-16,42.97,7.69,East,Office Supplies,Art,Toby Swindell
2023-09-28,296.84,131.96,South,Technology,Accessories,John Lee
2025-02-08,259.83,36.2,South,Office Supplies,Art,Brosina Hoffman
2023-06-21,94.23,21.66,South,Office Supplies,Storage,Gary Hansen
2023-10-01,105.78,29.93,West,Office Supplies,Labels,Irene Maddox
2023-09-16,41.84,6.26,South,Furniture,Furnishings,Valerie Mitchum
2024-02-26,17.23,2.56,West,Office Supplies,Appliances,Arthur Prichep
2023-12-30,132.8,30.98,East,Office Supplies,Binders,Tracy Blumstein
2024-01-13,94.59,3.98,West,Furniture,Tables,Stewart Rivera
2024-08-02,94.48,5.16,East,Office Supplies,Supplies,Albert Patina
2025-06-09,1711.15,432.08,South,Technology,Phones,Harold Ryan
2024-12-22,463.11,54.31,South,Office Supplies,Appliances,Joel Eaton
2025-05-30,183.69,43.35,East,Technology,Phones,Arthur Prichep
2024-08-27,300.21,73.73,Central,Technology,Phones,Tracy Blumstein
2023-01-22,462.71,167.19,East,Technology,Machines,Nick Crecia
2024-01-18,317.74,24.83,Central,Office Supplies,Envelopes,Arthur Prichep
2023-05-14,285.09,-34.02,West,Furniture,Tables,Sandra Flanagan
2025-11-14,5.56,1.22,West,Office Supplies,Art,Toby Swindell
2024-05-17,99.9,27.27,West,Technology,Phones,Ken Black
2023-05-24,196.02,27.98,South,Furniture,Chairs,Sandra Flanagan
2023-08-12,242.9,0.85,West,Furniture,Chairs,Georgia Nippi
2023-08-08,240.07,80.06,Central,Office Supplies,Binders,Harold Ryan
2023-06-28,583.15,24.91,West,Furniture,Chairs,Stewart Rivera
2024-03-08,58.41,12.93,East,Office Supplies,Envelopes,Pete Kaisen
2023-09-22,96.8,28.81,East,Office Supplies,Art,Sandra Flanagan
2025-08-11,20.07,2.66,South,Office Supplies,Labels,Lena Creighton
2024-03-04,1411.47,515.24,East,Technology,Copiers,Claire Gute
2024-02-20,1466.56,720.9,Central,Technology,Copiers,Alejandro Grove
2024-12-27,590.34,115.06,West,Office Supplies,Binders,Toby Swindell
2023-07-16,1992.98,824.65,South,Technology,Machines,Harold Ryan
2025-12-12,33.67,11.61,West,Office Supplies,Storage,Albert Patina
2024-04-24,12.09,0.12,West,Furniture,Furnishings,Nick Crecia
2025-06-08,134.98,23.57,Central,Office Supplies,Paper,Bobby Osgood
2025-07-13,370.6,63.89,East,Office Supplies,Art,Ryan Crowe
2023-05-03,34.28,5.05,East,Office Supplies,Art,Lena Creighton
2025-02-16,22.98,0.04,West,Furniture,Tables,Toby Swindell
2023-12-14,250.6,69.59,South,Office Supplies,Labels,Nick Crecia
2023-01-29,117.85,-15.86,East,Furniture,Tables,Toby Swindell
2025-09-01,193.8,-25.61,South,Furniture,Bookcases,Eric Hoffmann
2023-02-04,175.39,25.06,East,Office Supplies,Paper,Brosina Hoffman
2024-09-14,45.53,6.27,South,Office Supplies,Fasteners,Georgia Nippi
2024-08-11,18.15,5.32,Central,Office Supplies,Storage,Nick Crecia
2025-12-26,225.47,17.2,South,Office Supplies,Binders,Brosina Hoffman
2025-06-22,357.34,61.56,Central,Furniture,Bookcases,Gary Hansen
2024-06-03,2060.49,-100.69,Central,Furniture,Tables,Albert Patina
2023-05-02,68.31,18.43,South,Office Supplies,Storage,Toby Swindell
2023-12-06,47.37,11.9,Central,Technology,Phones,Georgia Nippi
2023-06-24,363.48,122.82,West,Technology,Phones,Linda Cazzolari
2024-08-19,396.89,37.15,Central,Furniture,Bookcases,Brosina Hoffman
2024-03-26,223.66,82.56,East,Technology,Machines,Bobby Osgood
2024-07-10,233.3,59.81,South,Technology,Accessories,Lena Creighton
2025-11-05,271.16,71.99,West,Technology,Machines,Nick Crecia
2023-01-09,50.3,16.36,South,Technology,Accessories,John Lee
2023-11-30,57.91,7.98,East,Technology,Phones,Yoseph Carroll
2025-10-13,81.48,14.74,East,Office Supplies,Fasteners,Alejandro Grove
2023-11-23,86.43,20.64,East,Furniture,Furnishings,Lena Creighton
2023-01-15,193.48,-26.12,Central,Furniture,Bookcases,Paul Prost
2025-04-18,190.15,27.53,Central,Office Supplies,Art,Valerie Mitchum
2023-08-14,2457.01,1014.31,South,Technology,Copiers,Albert Patina
2023-04-23,27.23,6.54,South,Office Supplies,Art,John Lee
2023-01-01,13.38,1.09,West,Office Supplies,Fasteners,Brosina Hoffman
2023-09-23,26.14,8.36,West,Technology,Machines,Alejandro Grove
2025-08-09,76.2,-8.53,South,Furniture,Chairs,Harold Ryan
2023-11-02,165.92,13.02,Central,Office Supplies,Paper,Tracy Blumstein
2023-01-12,200.0,53.69,East,Office Supplies,Art,Arthur Prichep
2025-07-25,913.77,-186.54,South,Furniture,Tables,Stewart Rivera
2024-02-24,46.9,16.1,West,Office Supplies,Envelopes,Linda Cazzolari
2025-06-07,404.14,144.47,Central,Technology,Copiers,Andrew Allen
2023-06-20,104.0,19.09,South,Office Supplies,Art,Zusha Benson
2023-05-14,14.79,2.06,South,Technology,Accessories,Gary Hansen
2025-08-22,146.68,22.8,Central,Office Supplies,Envelopes,Lena Creighton
2025-11-14,622.81,217.65,South,Office Supplies,Envelopes,Maria Etezadi
2024-10-19,72.13,22.84,Central,Office Supplies,Art,Brosina Hoffman
2023-06-28,214.66,-28.05,East,Furniture,Furnishings,Brosina Hoffman
2025-12-15,823.68,381.08,Central,Technology,Copiers,Albert Patina
2023-04-21,147.22,70.6,Central,Technology,Copiers,Irene Maddox
2023-05-17,766.04,132.78,Central,Technology,Machines,John Lee
2023-08-20,199.39,30.07,South,Technology,Phones,Toby Swindell
2025-09-18,10.25,3.29,South,Office Supplies,Paper,Eric Hoffmann
2024-04-12,472.41,40.61,Central,Furniture,Tables,Yoseph Carroll
2025-01-01,2267.36,1013.88,South,Technology,Machines,Joel Eaton
2024-04-25,68.42,19.63,West,Office Supplies,Supplies,Andrew Allen
2025-12-27,79.22,19.73,West,Office Supplies,Envelopes,Toby Swindell
2025-03-24,337.49,51.88,South,Office Supplies,Paper,Toby Swindell
2025-09-20,256.99,26.06,South,Office Supplies,Storage,Yoseph Carroll
2023-11-19,770.6,281.88,Central,Technology,Copiers,Lena Creighton
2025-07-10,47.91,6.1,East,Furniture,Furnishings,Pete Kaisen
2025-06-22,366.55,104.62,South,Office Supplies,Appliances,Eric Hoffmann
2024-08-28,30.16,8.99,West,Office Supplies,Envelopes,Toby Swindell
2024-03-04,1210.54,644.92,Central,Technology,Copiers,Lena Creighton
2023-05-28,9.38,2.95,South,Office Supplies,Labels,Joel Eaton
2025-04-29,159.81,71.9,West,Technology,Accessories,Bobby Osgood
2024-01-02,358.66,66.5,West,Technology,Machines,Albert Patina
2025-04-29,94.59,14.69,East,Furniture,Furnishings,Yoseph Carroll
2025-12-25,68.53,15.48,Central,Office Supplies,Paper,Zusha Benson
2025-03-23,33.45,4.29,Central,Office Supplies,Fasteners,Arthur Prichep
2023-06-24,1037.02,566.61,East,Technology,Copiers,Lena Creighton
2024-08-10,325.53,103.96,East,Office Supplies,Supplies,Tracy Blumstein
2024-05-09,3042.75,1143.17,Central,Technology,Copiers,Pete Kaisen
2025-08-30,37.04,4.04,Central,Technology,Accessories,Zusha Benson
2023-02-04,194.54,49.9,South,Office Supplies,Paper,Valerie Mitchum
2025-09-25,168.75,39.02,South,Office Supplies,Storage,Irene Maddox
2024-06-21,68.1,22.52,East,Office Supplies,Art,Nick Crecia
2025-01-19,7.89,0.95,South,Office Supplies,Binders,Irene Maddox
2025-11-03,180.58,13.6,West,Office Supplies,Storage,Yoseph Carroll
2024-01-09,441.42,56.4,South,Office Supplies,Appliances,John Lee
2024-07-10,830.54,293.83,South,Technology,Copiers,Ryan Crowe
2023-08-21,265.72,-36.04,West,Furniture,Chairs,Stewart Rivera
2024-12-05,188.61,40.73,East,Furniture,Bookcases,Andrew Allen
2024-07-16,235.01,52.46,West,Technology,Machines,Alejandro Grove
2025-07-27,213.27,36.95,South,Office Supplies,Supplies,Linda Cazzolari
2025-06-05,1292.38,-441.65,East,Furniture,Tables,Eric Hoffmann
2024-12-26,213.16,41.5,South,Technology,Machines,Bobby Osgood
2023-03-17,886.0,338.15,West,Technology,Phones,Harold Ryan
2024-03-14,52.04,12.21,West,Office Supplies,Paper,Joel Eaton
2024-11-29,1032.23,375.55,South,Technology,Phones,Tracy Blumstein
